name_model,classifier,run,task,accuracy,sensitivity,specificity,precision,recall,f1,kappa
GradientBoostingClassifier_16_6,GradientBoostingClassifier,16,6,0.6136363636363636,0.5217391304347826,0.7142857142857143,0.6666666666666666,0.5217391304347826,0.5853658536585366,0.2336065573770492
GradientBoostingClassifier_17_6,GradientBoostingClassifier,17,6,0.75,0.782608695652174,0.7142857142857143,0.75,0.782608695652174,0.7659574468085107,0.49792531120331956
GradientBoostingClassifier_18_6,GradientBoostingClassifier,18,6,0.6590909090909091,0.6521739130434783,0.6666666666666666,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.3181818181818181
GradientBoostingClassifier_19_6,GradientBoostingClassifier,19,6,0.7272727272727273,0.7391304347826086,0.7142857142857143,0.7391304347826086,0.7391304347826086,0.7391304347826085,0.45341614906832306
GradientBoostingClassifier_20_6,GradientBoostingClassifier,20,6,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
ExtraTreesClassifier_1_6,ExtraTreesClassifier,1,6,0.6590909090909091,0.4782608695652174,0.8571428571428571,0.7857142857142857,0.4782608695652174,0.5945945945945946,0.32926829268292673
ExtraTreesClassifier_2_6,ExtraTreesClassifier,2,6,0.7045454545454546,0.43478260869565216,1.0,1.0,0.43478260869565216,0.6060606060606061,0.42338709677419356
ExtraTreesClassifier_3_6,ExtraTreesClassifier,3,6,0.6590909090909091,0.5652173913043478,0.7619047619047619,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.3237704918032786
ExtraTreesClassifier_4_6,ExtraTreesClassifier,4,6,0.7272727272727273,0.6086956521739131,0.8571428571428571,0.8235294117647058,0.6086956521739131,0.7,0.4601226993865031
ExtraTreesClassifier_5_6,ExtraTreesClassifier,5,6,0.6590909090909091,0.43478260869565216,0.9047619047619048,0.8333333333333334,0.43478260869565216,0.5714285714285714,0.33198380566801616
ExtraTreesClassifier_6_6,ExtraTreesClassifier,6,6,0.6818181818181818,0.6956521739130435,0.6666666666666666,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.3623188405797101
ExtraTreesClassifier_7_6,ExtraTreesClassifier,7,6,0.6818181818181818,0.5217391304347826,0.8571428571428571,0.8,0.5217391304347826,0.6315789473684211,0.37270875763747446
ExtraTreesClassifier_8_6,ExtraTreesClassifier,8,6,0.6363636363636364,0.5217391304347826,0.7619047619047619,0.7058823529411765,0.5217391304347826,0.6,0.280163599182004
ExtraTreesClassifier_9_6,ExtraTreesClassifier,9,6,0.7272727272727273,0.6521739130434783,0.8095238095238095,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.457905544147844
ExtraTreesClassifier_10_6,ExtraTreesClassifier,10,6,0.5909090909090909,0.5652173913043478,0.6190476190476191,0.6190476190476191,0.5652173913043478,0.5909090909090909,0.18350515463917538
ExtraTreesClassifier_11_6,ExtraTreesClassifier,11,6,0.6818181818181818,0.5652173913043478,0.8095238095238095,0.7647058823529411,0.5652173913043478,0.65,0.3701431492842534
ExtraTreesClassifier_12_6,ExtraTreesClassifier,12,6,0.7272727272727273,0.6521739130434783,0.8095238095238095,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.457905544147844
ExtraTreesClassifier_13_6,ExtraTreesClassifier,13,6,0.6363636363636364,0.4782608695652174,0.8095238095238095,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.2830957230142566
ExtraTreesClassifier_14_6,ExtraTreesClassifier,14,6,0.6818181818181818,0.5217391304347826,0.8571428571428571,0.8,0.5217391304347826,0.6315789473684211,0.37270875763747446
ExtraTreesClassifier_15_6,ExtraTreesClassifier,15,6,0.6363636363636364,0.5652173913043478,0.7142857142857143,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.27720739219712526
ExtraTreesClassifier_16_6,ExtraTreesClassifier,16,6,0.5909090909090909,0.43478260869565216,0.7619047619047619,0.6666666666666666,0.43478260869565216,0.5263157894736841,0.19348268839103877
ExtraTreesClassifier_17_6,ExtraTreesClassifier,17,6,0.6590909090909091,0.6086956521739131,0.7142857142857143,0.7,0.6086956521739131,0.6511627906976744,0.32098765432098764
ExtraTreesClassifier_18_6,ExtraTreesClassifier,18,6,0.75,0.6956521739130435,0.8095238095238095,0.8,0.6956521739130435,0.7441860465116279,0.5020576131687243
ExtraTreesClassifier_19_6,ExtraTreesClassifier,19,6,0.6590909090909091,0.6086956521739131,0.7142857142857143,0.7,0.6086956521739131,0.6511627906976744,0.32098765432098764
ExtraTreesClassifier_20_6,ExtraTreesClassifier,20,6,0.6136363636363636,0.5652173913043478,0.6666666666666666,0.65,0.5652173913043478,0.6046511627906976,0.23045267489711943
RandomForestClassifier_1_7,RandomForestClassifier,1,7,0.6363636363636364,0.6086956521739131,0.6666666666666666,0.6666666666666666,0.6086956521739131,0.6363636363636365,0.27422680412371137
RandomForestClassifier_2_7,RandomForestClassifier,2,7,0.5909090909090909,0.5217391304347826,0.6666666666666666,0.631578947368421,0.5217391304347826,0.5714285714285715,0.186858316221766
RandomForestClassifier_3_7,RandomForestClassifier,3,7,0.6590909090909091,0.6086956521739131,0.7142857142857143,0.7,0.6086956521739131,0.6511627906976744,0.32098765432098764
RandomForestClassifier_4_7,RandomForestClassifier,4,7,0.6818181818181818,0.6956521739130435,0.6666666666666666,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.3623188405797101
RandomForestClassifier_5_7,RandomForestClassifier,5,7,0.6590909090909091,0.5652173913043478,0.7619047619047619,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.3237704918032786
RandomForestClassifier_6_7,RandomForestClassifier,6,7,0.7272727272727273,0.7391304347826086,0.7142857142857143,0.7391304347826086,0.7391304347826086,0.7391304347826085,0.45341614906832306
RandomForestClassifier_7_7,RandomForestClassifier,7,7,0.7727272727272727,0.6956521739130435,0.8571428571428571,0.8421052631578947,0.6956521739130435,0.761904761904762,0.5482546201232033
RandomForestClassifier_8_7,RandomForestClassifier,8,7,0.5681818181818182,0.5652173913043478,0.5714285714285714,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.13636363636363646
RandomForestClassifier_9_7,RandomForestClassifier,9,7,0.5681818181818182,0.5652173913043478,0.5714285714285714,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.13636363636363646
RandomForestClassifier_10_7,RandomForestClassifier,10,7,0.6136363636363636,0.4782608695652174,0.7619047619047619,0.6875,0.4782608695652174,0.5641025641025642,0.23673469387755108
RandomForestClassifier_11_7,RandomForestClassifier,11,7,0.5909090909090909,0.43478260869565216,0.7619047619047619,0.6666666666666666,0.43478260869565216,0.5263157894736841,0.19348268839103877
RandomForestClassifier_12_7,RandomForestClassifier,12,7,0.75,0.7391304347826086,0.7619047619047619,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.5
RandomForestClassifier_13_7,RandomForestClassifier,13,7,0.5454545454545454,0.5217391304347826,0.5714285714285714,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.09278350515463915
RandomForestClassifier_14_7,RandomForestClassifier,14,7,0.7045454545454546,0.7391304347826086,0.6666666666666666,0.7083333333333334,0.7391304347826086,0.723404255319149,0.40663900414937776
RandomForestClassifier_15_7,RandomForestClassifier,15,7,0.7045454545454546,0.5652173913043478,0.8571428571428571,0.8125,0.5652173913043478,0.6666666666666667,0.416326530612245
RandomForestClassifier_16_7,RandomForestClassifier,16,7,0.6590909090909091,0.5652173913043478,0.7619047619047619,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.3237704918032786
RandomForestClassifier_17_7,RandomForestClassifier,17,7,0.5909090909090909,0.4782608695652174,0.7142857142857143,0.6470588235294118,0.4782608695652174,0.55,0.19018404907975459
RandomForestClassifier_18_7,RandomForestClassifier,18,7,0.75,0.6956521739130435,0.8095238095238095,0.8,0.6956521739130435,0.7441860465116279,0.5020576131687243
RandomForestClassifier_19_7,RandomForestClassifier,19,7,0.7045454545454546,0.782608695652174,0.6190476190476191,0.6923076923076923,0.782608695652174,0.7346938775510203,0.4041666666666668
RandomForestClassifier_20_7,RandomForestClassifier,20,7,0.7045454545454546,0.6956521739130435,0.7142857142857143,0.7272727272727273,0.6956521739130435,0.711111111111111,0.40909090909090917
LogisticRegression_1_7,LogisticRegression,1,7,0.6363636363636364,0.8260869565217391,0.42857142857142855,0.6129032258064516,0.8260869565217391,0.7037037037037037,0.2589473684210527
LogisticRegression_2_7,LogisticRegression,2,7,0.6590909090909091,0.6521739130434783,0.6666666666666666,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.3181818181818181
LogisticRegression_3_7,LogisticRegression,3,7,0.6363636363636364,0.7391304347826086,0.5238095238095238,0.6296296296296297,0.7391304347826086,0.68,0.26513569937369524
