name_model,classifier,run,accuracy,sensitivity,specificity,precision,recall,f1,kappa
single_LogisticRegression_task_specific_run3,LogisticRegression,3,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
single_KNeighborsClassifier_task_specific_run3,KNeighborsClassifier,3,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
single_LinearDiscriminantAnalysis_task_specific_run3,LinearDiscriminantAnalysis,3,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
single_GaussianNB_task_specific_run3,GaussianNB,3,0.7272727272727273,0.4782608695652174,1.0,1.0,0.4782608695652174,0.6470588235294118,0.4666666666666667
single_SVC_task_specific_run3,SVC,3,0.7954545454545454,0.6521739130434783,0.9523809523809523,0.9375,0.6521739130434783,0.7692307692307693,0.5959183673469387
single_DecisionTreeClassifier_task_specific_run3,DecisionTreeClassifier,3,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
single_MLPClassifier_task_specific_run3,MLPClassifier,3,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.782608695652174,0.8372093023255814,0.683127572016461
single_ExtraTreesClassifier_task_specific_run3,ExtraTreesClassifier,3,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
single_AdaBoostClassifier_task_specific_run3,AdaBoostClassifier,3,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
single_GradientBoostingClassifier_task_specific_run3,GradientBoostingClassifier,3,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
single_XGBClassifier_task_specific_run3,XGBClassifier,3,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
single_RandomForestClassifier_task_specific_run4,RandomForestClassifier,4,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
single_LogisticRegression_task_specific_run4,LogisticRegression,4,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.5892116182572614
single_KNeighborsClassifier_task_specific_run4,KNeighborsClassifier,4,0.7272727272727273,0.5652173913043478,0.9047619047619048,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.46232179226069253
single_LinearDiscriminantAnalysis_task_specific_run4,LinearDiscriminantAnalysis,4,0.7954545454545454,0.7391304347826086,0.8571428571428571,0.85,0.7391304347826086,0.7906976744186046,0.5925925925925926
single_GaussianNB_task_specific_run4,GaussianNB,4,0.8636363636363636,0.782608695652174,0.9523809523809523,0.9473684210526315,0.782608695652174,0.8571428571428571,0.728952772073922
single_SVC_task_specific_run4,SVC,4,0.7954545454545454,0.6086956521739131,1.0,1.0,0.6086956521739131,0.7567567567567568,0.597560975609756
single_DecisionTreeClassifier_task_specific_run4,DecisionTreeClassifier,4,0.7727272727272727,0.6086956521739131,0.9523809523809523,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.5519348268839104
single_MLPClassifier_task_specific_run4,MLPClassifier,4,0.7954545454545454,0.782608695652174,0.8095238095238095,0.8181818181818182,0.782608695652174,0.8,0.5909090909090908
single_ExtraTreesClassifier_task_specific_run4,ExtraTreesClassifier,4,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
single_AdaBoostClassifier_task_specific_run4,AdaBoostClassifier,4,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
single_GradientBoostingClassifier_task_specific_run4,GradientBoostingClassifier,4,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.5892116182572614
single_XGBClassifier_task_specific_run4,XGBClassifier,4,0.75,0.782608695652174,0.7142857142857143,0.75,0.782608695652174,0.7659574468085107,0.49792531120331956
single_RandomForestClassifier_task_specific_run5,RandomForestClassifier,5,0.9090909090909091,0.8260869565217391,1.0,1.0,0.8260869565217391,0.9047619047619047,0.8193018480492813
single_LogisticRegression_task_specific_run5,LogisticRegression,5,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
single_KNeighborsClassifier_task_specific_run5,KNeighborsClassifier,5,0.7954545454545454,0.6086956521739131,1.0,1.0,0.6086956521739131,0.7567567567567568,0.597560975609756
single_LinearDiscriminantAnalysis_task_specific_run5,LinearDiscriminantAnalysis,5,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
single_GaussianNB_task_specific_run5,GaussianNB,5,0.6818181818181818,0.391304347826087,1.0,1.0,0.391304347826087,0.5625,0.380281690140845
single_SVC_task_specific_run5,SVC,5,0.7727272727272727,0.5652173913043478,1.0,1.0,0.5652173913043478,0.7222222222222222,0.5537525354969574
single_DecisionTreeClassifier_task_specific_run5,DecisionTreeClassifier,5,0.9318181818181818,0.8695652173913043,1.0,1.0,0.8695652173913043,0.9302325581395349,0.8641975308641975
single_MLPClassifier_task_specific_run5,MLPClassifier,5,0.7954545454545454,0.6521739130434783,0.9523809523809523,0.9375,0.6521739130434783,0.7692307692307693,0.5959183673469387
single_ExtraTreesClassifier_task_specific_run5,ExtraTreesClassifier,5,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
single_AdaBoostClassifier_task_specific_run5,AdaBoostClassifier,5,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
single_GradientBoostingClassifier_task_specific_run5,GradientBoostingClassifier,5,0.9090909090909091,0.8695652173913043,0.9523809523809523,0.9523809523809523,0.8695652173913043,0.909090909090909,0.8185567010309279
single_XGBClassifier_task_specific_run5,XGBClassifier,5,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
single_RandomForestClassifier_task_specific_run6,RandomForestClassifier,6,0.7727272727272727,0.7391304347826086,0.8095238095238095,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.5463917525773196
